timestamp,BTC-PERP,ETH-PERP,SOL-PERP
1654952400,20786.0,1212.6,37.77
1654956000,20786.0,1212.6,37.77
1654959600,20786.0,1212.6,37.77
1654963200,20786.0,1212.6,37.77
1654966800,20786.0,1212.6,37.77
1654970400,20786.0,1212.6,37.77
1654974000,20786.0,1212.6,37.77
1654977600,20786.0,1212.6,37.77
1654981200,20786.0,1212.6,37.77
1654984800,20786.0,1212.6,37.77
1654988400,20786.0,1212.6,37.77
1654992000,20786.0,1212.6,37.77
1654995600,20786.0,1212.6,37.77
1654999200,20786.0,1212.6,37.77
1655002800,20786.0,1212.6,37.77
1655006400,20786.0,1212.6,37.77
1655010000,20786.0,1212.6,37.77
1655013600,20786.0,1212.6,37.77
1655017200,20786.0,1212.6,37.77
1655020800,20786.0,1212.6,37.77
1655024400,20786.0,1212.6,37.77
1655028000,20786.0,1212.6,37.7725
1655031600,20786.0,1212.6,37.7725
1655035200,20786.0,1212.6,37.7725
1655038800,20786.0,1212.6,37.7725
1655042400,20786.0,1212.6,37.7725
1655046000,20786.0,1213.1,37.7725
1655049600,20786.0,1213.1,37.7725
1655053200,20786.0,1213.1,37.7725
1655056800,20786.0,1213.0,37.7725
1655060400,20786.0,1213.0,37.7725
1655064000,20786.0,1213.0,37.7725
1655067600,20786.0,1213.0,37.7725
1655071200,20786.0,1213.0,37.7725
1655074800,20786.0,1213.0,37.7725
1655078400,20786.0,1213.0,37.7725
1655082000,20786.0,1213.0,37.7725
1655085600,20786.0,1213.0,37.7725
1655089200,20786.0,1213.0,37.7725
1655092800,20786.0,1213.0,37.7725
1655096400,20786.0,1213.0,37.7725
1655100000,20786.0,1213.0,37.7725
1655103600,20786.0,1213.0,37.7725
1655107200,20786.0,1213.0,37.7725
1655110800,20786.0,1213.0,37.7725
1655114400,20786.0,1213.0,37.7725
1655118000,20786.0,1213.0,37.7725
1655121600,20786.0,1213.0,37.7725
1655125200,20784.0,1213.0,37.7725
1655128800,20784.0,1213.0,37.7725
1655132400,20784.0,1213.0,37.7725
1655136000,20784.0,1213.0,37.7725
1655139600,20784.0,1212.8,37.7725
1655143200,20784.0,1212.8,37.7725
1655146800,20784.0,1212.8,37.7725
1655150400,20784.0,1212.8,37.7725
1655154000,20784.0,1212.8,37.7725
1655157600,20784.0,1212.8,37.7725
1655161200,20784.0,1212.8,37.7725
1655164800,20784.0,1212.8,37.7725
1655168400,20784.0,1212.8,37.7725
1655172000,20784.0,1212.8,37.7725
1655175600,20784.0,1212.8,37.7725
1655179200,20780.0,1212.8,37.7725
1655182800,20780.0,1212.8,37.7725
1655186400,20780.0,1212.8,37.7725
1655190000,20781.0,1212.8,37.7725
1655193600,20781.0,1212.8,37.7725
1655197200,20780.0,1212.8,37.7725
1655200800,20780.0,1212.8,37.7725
1655204400,20780.0,1212.8,37.7725
1655208000,20780.0,1212.8,37.7725
1655211600,20780.0,1212.8,37.7725
1655215200,20780.0,1212.8,37.7725
1655218800,20780.0,1212.8,37.7725
1655222400,20780.0,1212.8,37.7725
1655226000,20780.0,1212.8,37.7725
1655229600,20780.0,1212.8,37.7725
1655233200,20780.0,1212.8,37.7725
1655236800,20779.0,1212.8,37.7725
1655240400,20779.0,1212.8,37.7725
1655244000,20781.0,1212.8,37.7725
1655247600,20781.0,1212.8,37.7725
1655251200,20781.0,1212.8,37.775
1655254800,20781.0,1212.8,37.775
1655258400,20781.0,1212.9,37.775
1655262000,20781.0,1212.9,37.775
1655265600,20781.0,1212.9,37.775
1655269200,20781.0,1212.9,37.775
1655272800,20782.0,1212.9,37.775
1655276400,20782.0,1212.9,37.775
1655280000,20782.0,1212.9,37.775
1655283600,20781.0,1212.9,37.775
1655287200,20781.0,1212.9,37.775
1655290800,20781.0,1212.9,37.775
1655294400,20781.0,1212.9,37.775
1655298000,20781.0,1212.8,37.7775
1655301600,20782.0,1212.8,37.7775
1655305200,20782.0,1212.8,37.7775
1655308800,20782.0,1212.8,37.785
1655312400,20782.0,1212.8,37.785
